train/std,time/time_elapsed,train/reward_min,time/fps,train/n_updates,train/reward_max,time/total_timesteps,train/policy_loss,train/learning_rate,train/reward_mean,time/iterations,train/entropy_loss,train/reward,train/value_loss,train/explained_variance
1.01095712184906,28,-2.2449348,262,1499,6.907809,7500,-0.8088134527206421,0.0007,2.5446908,1500,-40.03057861328125,6.907809,5.424590110778809,0.0
1.0130459070205688,30,-0.3072773,262,1599,1.8297861,8000,-71.7337646484375,0.0007,0.84247166,1600,-40.08213806152344,0.34886125,3.853433132171631,-2.384185791015625e-07
1.0127267837524414,32,-2.4858906,262,1699,6.2844186,8500,-384.0650329589844,0.0007,2.0283592,1700,-40.07746124267578,0.009581007,109.51951599121094,0.0
1.0130364894866943,34,-0.017439554,261,1799,1.0345517,9000,-53.66984939575195,0.0007,0.44766828,1800,-40.09016799926758,1.0345517,1.6807615756988525,0.0
1.0135291814804077,36,-1.4764355,262,1899,0.8338546,9500,22.28508186340332,0.0007,-0.26788342,1900,-40.0960693359375,-0.060688134,1.7729116678237915,0.0
1.0134998559951782,38,0.17071985,262,1999,2.4732072,10000,-51.86497116088867,0.0007,1.2560673,2000,-40.09586715698242,0.6299247,2.1524155139923096,0.0
1.0128610134124756,39,-1.2105368,262,2099,2.804012,10500,76.41799926757812,0.0007,0.48417434,2100,-40.07723617553711,2.804012,9.059847831726074,0.0
1.0120270252227783,41,-9.348482,263,2199,1.4634788,11000,-114.44828796386719,0.0007,-4.741169,2200,-40.053489685058594,-8.899083,18.477333068847656,5.960464477539063e-08
1.0127114057540894,43,-50.477097,263,2299,57.33588,11500,-2935.22998046875,0.0007,2.171935,2300,-40.07089614868164,-15.745701,5085.45068359375,0.005909383296966553
1.0124168395996094,45,-0.72566265,262,2399,1.495609,12000,37.80767059326172,0.0007,0.3990097,2400,-40.06631851196289,0.8007954,4.940457344055176,0.0
1.0129796266555786,47,-0.9770728,263,2499,3.9037604,12500,-82.66222381591797,0.0007,0.74939585,2500,-40.075069427490234,-0.9770728,4.449994087219238,1.1920928955078125e-07
1.0128637552261353,49,-2.4464345,263,2599,1.313433,13000,-48.03621292114258,0.0007,0.12618615,2600,-40.07329559326172,1.313433,1.46355402469635,0.0
1.0135983228683472,51,-1.6961387,263,2699,1.5318018,13500,16.294389724731445,0.0007,-0.3043455,2700,-40.09104919433594,-0.96158564,0.2996672987937927,0.0
1.0112773180007935,53,-4.748414,263,2799,4.5668473,14000,171.8340301513672,0.0007,0.15391795,2800,-40.02507781982422,3.6920335,19.2326602935791,-1.1920928955078125e-07
1.0099833011627197,54,-1.0059441,263,2899,0.9911502,14500,-54.808921813964844,0.0007,-0.09303314,2900,-39.99033737182617,0.9911502,2.0810341835021973,2.384185791015625e-07
1.0099083185195923,56,-0.7783935,264,2999,1.7911811,15000,105.6755142211914,0.0007,0.36160707,3000,-39.99223327636719,1.7911811,8.787574768066406,0.0
1.0121020078659058,58,-0.8482844,264,3099,0.7672703,15500,108.48652648925781,0.0007,-0.054067504,3100,-40.05015563964844,-0.8482844,8.406102180480957,0.0
1.0135385990142822,60,-3.477867,263,3199,5.466181,16000,162.61167907714844,0.0007,1.0614835,3200,-40.086181640625,-1.8349007,24.342479705810547,0.0
1.015447735786438,62,-3.233611,264,3299,6.8741474,16500,123.29206848144531,0.0007,0.2771141,3300,-40.14068603515625,-0.88047844,14.943771362304688,0.0
1.017482876777649,64,-7.724876,264,3399,19.627007,17000,-37.02276611328125,0.0007,3.3095567,3400,-40.19989776611328,19.627007,15.342434883117676,-1.1920928955078125e-07
1.0199164152145386,66,-0.44552553,264,3499,1.4156597,17500,160.93743896484375,0.0007,0.2712709,3500,-40.259132385253906,0.08935253,20.14748191833496,-0.02369236946105957
