time/time_elapsed,train/reward_max,train/reward_mean,train/std,time/fps,train/value_loss,time/total_timesteps,train/entropy_loss,train/policy_loss,train/reward,time/iterations,train/reward_min,train/explained_variance,train/n_updates,train/learning_rate
34,,,1.022506594657898,263,0.38131287693977356,9000,-41.779388427734375,-21.975967407226562,1.5813885,1800,,0.0,1799,0.0007
35,,,1.0255459547042847,263,1.3072104454040527,9500,-41.8712158203125,-4.993755340576172,0.60816705,1900,,1.1920928955078125e-07,1899,0.0007
37,,,1.0251880884170532,264,1.4994508028030396,10000,-41.857696533203125,-28.4137020111084,-1.3746445,2000,,0.0,1999,0.0007
39,,,1.0249483585357666,264,8.413252830505371,10500,-41.850486755371094,103.8460464477539,1.9219475,2100,,0.0,2099,0.0007
41,,,1.0248970985412598,265,5.753209590911865,11000,-41.851749420166016,-36.4333610534668,-7.975826,2200,,0.0,2199,0.0007
43,,,1.0247111320495605,264,5156.625,11500,-41.84292984008789,-2846.850830078125,-7.627639,2300,,1.1920928955078125e-07,2299,0.0007
45,,,1.02596116065979,264,3.4506523609161377,12000,-41.88105773925781,46.75764465332031,1.3390052,2400,,1.1920928955078125e-07,2399,0.0007
47,,,1.0293344259262085,262,5.909558296203613,12500,-41.9786491394043,-100.19013977050781,-1.4595958,2500,,-1.1920928955078125e-07,2499,0.0007
49,,,1.0291433334350586,262,73.48650360107422,13000,-41.962745666503906,333.31378173828125,-0.06320225,2600,,0.0,2599,0.0007
51,,,1.0282760858535767,261,3.723789691925049,13500,-41.94975280761719,28.98984718322754,-1.7331821,2700,,-1.1920928955078125e-07,2699,0.0007
53,,,1.0285857915878296,262,56.59113311767578,14000,-41.94679641723633,324.06964111328125,1.2048935,2800,,0.0,2799,0.0007
55,,,1.0263363122940063,262,3.462019443511963,14500,-41.8928108215332,-79.96356201171875,1.8371952,2900,,0.0,2899,0.0007
57,,,1.0272727012634277,262,3.2780957221984863,15000,-41.915283203125,-69.09846496582031,-0.14047807,3000,,0.09944361448287964,2999,0.0007
59,,,1.0284212827682495,259,1.1034654378890991,15500,-41.93769073486328,8.163003921508789,0.44595814,3100,,-1.1920928955078125e-07,3099,0.0007
61,,,1.0313475131988525,258,87.40377044677734,16000,-42.02094268798828,-226.82113647460938,-3.83608,3200,,2.384185791015625e-07,3199,0.0007
63,,,1.0305531024932861,258,12.317155838012695,16500,-42.004966735839844,90.81794738769531,2.243019,3300,,0.18535643815994263,3299,0.0007
65,,,1.0323913097381592,259,48.88298416137695,17000,-42.0574836730957,66.6512680053711,-2.7540643,3400,,0.0,3399,0.0007
67,,,1.0304802656173706,259,9.078444480895996,17500,-41.99946975708008,103.31805419921875,0.41100648,3500,,2.205371856689453e-06,3499,0.0007
69,,,1.031529426574707,259,11.77958869934082,18000,-42.02265548706055,-116.86317443847656,-0.08370736,3600,,5.960464477539063e-08,3599,0.0007
71,,,1.031080961227417,260,19.771236419677734,18500,-42.01511001586914,180.5537567138672,1.9299645,3700,,0.010879218578338623,3699,0.0007
73,,,1.0337649583816528,259,9.113365173339844,19000,-42.092323303222656,102.34104919433594,0.36760804,3800,,-0.25195181369781494,3799,0.0007
75,,,1.0351006984710693,259,12.882789611816406,19500,-42.11811828613281,-132.47048950195312,1.4657255,3900,,0.0,3899,0.0007
76,,,1.0312035083770752,259,7.117079257965088,20000,-42.02265548706055,44.76178741455078,3.194063,4000,,-1.1920928955078125e-07,3999,0.0007
78,,,1.0307930707931519,260,1.695709228515625,20500,-42.00931930541992,-21.751476287841797,-0.04031973,4100,,0.0931137204170227,4099,0.0007
80,,,1.0311869382858276,260,31.140758514404297,21000,-42.01771926879883,-217.1132354736328,-4.453093,4200,,0.0,4199,0.0007
82,,,1.0303387641906738,260,4.154689311981201,21500,-41.998775482177734,-82.26871490478516,3.080695,4300,,1.1920928955078125e-07,4299,0.0007
84,,,1.0320671796798706,260,3.7875804901123047,22000,-42.048667907714844,-26.569744110107422,1.6299611,4400,,1.1920928955078125e-07,4399,0.0007
86,,,1.0306910276412964,261,5.5240373611450195,22500,-42.003990173339844,65.77230072021484,1.4746493,4500,,0.0,4499,0.0007
87,,,1.0328497886657715,261,18.335819244384766,23000,-42.061588287353516,98.60514831542969,3.4423027,4600,,1.1920928955078125e-07,4599,0.0007
89,,,1.0343307256698608,261,15.32056999206543,23500,-42.10496520996094,-134.8041229248047,0.3929589,4700,,1.1920928955078125e-07,4699,0.0007
91,,,1.033168911933899,261,28.04803466796875,24000,-42.064029693603516,-184.19944763183594,-1.8166927,4800,,1.1920928955078125e-07,4799,0.0007
93,,,1.0328696966171265,262,8.195846557617188,24500,-42.0626220703125,-95.92913818359375,0.70348483,4900,,0.0,4899,0.0007
95,,,1.033211350440979,262,6.846051216125488,25000,-42.06787872314453,78.00102233886719,0.10075751,5000,,0.0,4999,0.0007
97,,,1.0345323085784912,262,123.45072937011719,25500,-42.10802459716797,425.59771728515625,0.38263583,5100,,0.0,5099,0.0007
